run-name                        step        validation metrics
---
a0-v2-baseline-s1               step=86600  NME=0.018839 NMF=113.094097
a0-v2-baseline2-s2              step=109100 NME=0.018865 NMF=113.470182
a0-v2-baseline2-s3              step=99950  NME=0.018834 NMF=115.302309
a1-v2-coordinates-only-carry-s1 step=89000  NME=0.018980 NMF=116.013544
a1-v2-coordinates-only-carry-s2 step=91600  NME=0.018815 NMF=115.794443
a1-v2-coordinates-only-carry-s3 step=92050  NME=0.018969 NMF=115.746809
a2-v2-per-landmark-gru-s1       step=94400  NME=0.020242 NMF=125.660780
a2-v2-per-landmark-gru-s2       step=103100 NME=0.020346 NMF=125.316114
a2-v2-per-landmark-gru-s3       step=98700  NME=0.020221 NMF=124.030533
a3-v2-gru-cell-s1               step=96400  NME=0.018767 NMF=113.551737
a3-v2-gru-cell-s2               step=86700  NME=0.019166 NMF=114.421684
a3-v2-gru-cell-s3               step=95400  NME=0.018810 NMF=113.209751
a4-v2-mean-only-wmr-s1          step=104650 NME=0.018915 NMF=112.467728
a4-v2-mean-only-wmr-s2          step=108250 NME=0.018941 NMF=111.179941
a4-v2-mean-only-wmr-s3          step=105500 NME=0.018909 NMF=112.644217
a5-v2-l2-coordinate-only-s1     step=88200  NME=0.018839 NMF=117.034214
a5-v2-l2-coordinate-only-s2     step=99800  NME=0.018828 NMF=116.388212
a5-v2-l2-coordinate-only-s3     step=106750 NME=0.018876 NMF=117.260624
a6-v2-spatial-gnll-s1           step=85350  NME=0.018839 NMF=116.559801
a6-v2-spatial-gnll-s2           step=96750  NME=0.018774 NMF=118.095364
a6-v2-spatial-gnll-s3           step=91850  NME=0.018716 NMF=115.586185
a7-v2-geometric-fourier-s1      step=88500  NME=0.018931 NMF=114.032578
a7-v2-geometric-fourier-s2      step=96950  NME=0.018862 NMF=112.698812
a7-v2-geometric-fourier-s3      step=109650 NME=0.018738 NMF=113.487766

a1-v2-coordinates-only-carry-nme-s1 step=84000 NME=0.018964 NMF=116.235807
a1-v2-coordinates-only-carry-nme-s2 step=91600 NME=0.018815 NMF=115.794443
a1-v2-coordinates-only-carry-nme-s3 step=98200 NME=0.018910 NMF=116.012375
